,lat,lon,rsrp,height,throughput
0,49.24348333333334,11.22904,-99,0.0,20.9
1,49.24348333333334,11.22904,-101,0.0,19.55
2,49.24348333333334,11.22904,-102,0.0,23.45
3,49.24348333333334,11.22904,-99,0.0,20.05
4,49.24348333333334,11.22904,-96,0.0,24.95
5,49.24348333333334,11.22904,-99,0.0,26.450000000000003
6,49.24348333333334,11.229041666666667,-98,0.0,23.1
7,49.24348333333334,11.229041666666667,-98,0.0,23.2
8,49.24348333333334,11.229041666666667,-98,0.0,27.15
9,49.24348333333334,11.229041666666667,-97,0.0,19.3
10,49.24348333333334,11.229041666666667,-95,0.0,21.9
11,49.24348333333334,11.229041666666667,-102,0.0,21.85
12,49.24348333333334,11.229041666666667,-99,0.0,22.75
13,49.24348333333334,11.229041666666667,-101,0.0,23.9
14,49.24348333333334,11.229041666666667,-100,0.0,15.3
15,49.24348166666667,11.229041666666667,-103,0.0,19.75
16,49.24348166666667,11.229041666666667,-105,0.0,16.95
17,49.24348166666667,11.229041666666667,-101,0.0,20.95
18,49.24348166666667,11.229041666666667,-104,0.0,17.6
19,49.24348166666667,11.229041666666667,-98,0.0,19.6
20,49.24348166666667,11.229041666666667,-101,0.0,22.65
21,49.24348166666667,11.229041666666667,-104,0.0,20.15
22,49.24348166666667,11.229041666666667,-102,0.0,18.9
23,49.24348166666667,11.229041666666667,-103,0.0,21.15
24,49.24348166666667,11.229041666666667,-101,0.0,19.75
25,49.24348166666667,11.229041666666667,-103,0.0,21.2
26,49.24348166666667,11.229041666666667,-100,0.0,17.6
27,49.24348166666667,11.229041666666667,-102,0.0,23.5
28,49.24348166666667,11.229041666666667,-105,0.0,22.0
29,49.24348166666667,11.229041666666667,-98,0.0,21.65
30,49.24348166666667,11.229041666666667,-101,0.0,24.799999999999997
31,49.24348166666667,11.229041666666667,-99,0.0,25.8
32,49.24348166666667,11.229041666666667,-98,0.0,23.1
33,49.24348166666667,11.229041666666667,-99,0.0,17.85
34,49.24348166666667,11.229041666666667,-97,0.0,13.100000000000001
35,49.24348166666667,11.229041666666667,-101,0.0,13.7
36,49.24348166666667,11.229041666666667,-109,0.0,12.899999999999999
37,49.24348166666667,11.229041666666667,-105,0.0,13.8
38,49.24348166666667,11.229041666666667,-106,0.0,13.85
39,49.24348166666667,11.229041666666667,-105,0.0,13.85
40,49.24348166666667,11.229041666666667,-105,0.0,14.55
41,49.24348166666667,11.229041666666667,-105,0.0,14.5
42,49.24348166666667,11.229041666666667,-105,0.0,14.350000000000001
43,49.24348166666667,11.229041666666667,-105,0.0,16.95
44,49.24348166666667,11.229041666666667,-106,0.0,17.6
45,49.24348166666667,11.229041666666667,-104,0.0,16.7
46,49.24348166666667,11.229041666666667,-104,0.0,13.95
47,49.24348166666667,11.229041666666667,-103,0.0,12.85
48,49.24348166666667,11.229041666666667,-105,0.0,11.2
49,49.24348166666667,11.229041666666667,-109,0.0,12.399999999999999
50,49.24348166666667,11.229041666666667,-107,0.0,11.625
51,49.24348166666667,11.229041666666667,-106,0.0,29.700000000000003
52,49.24348166666667,11.229041666666667,-105,0.0,25.85
53,49.24348166666667,11.229041666666667,-91,0.0,26.1
54,49.24348166666667,11.229041666666667,-96,0.0,31.6
55,49.24348166666667,11.229041666666667,-96,0.0,36.8
56,49.24348166666667,11.229041666666667,-92,0.0,45.45
57,49.24348166666667,11.229041666666667,-91,0.0,29.0
58,49.24348166666667,11.229041666666667,-85,0.0,22.45
59,49.24348166666667,11.229041666666667,-99,0.0,16.3
60,49.24348166666667,11.229041666666667,-99,0.0,21.9
61,49.24348,11.229041666666667,-98,0.0,18.7
62,49.24348,11.229041666666667,-98,0.0,23.049999999999997
63,49.24348,11.229041666666667,-99,0.0,22.25
64,49.24348,11.229041666666667,-97,0.0,25.1
65,49.24348,11.229041666666667,-98,0.0,30.0
66,49.24348,11.229041666666667,-98,0.0,25.45
67,49.24348,11.229041666666667,-97,0.0,24.15
68,49.243478333333336,11.229041666666667,-98,0.0,24.4
69,49.243478333333336,11.229041666666667,-98,0.0,24.05
70,49.243478333333336,11.229041666666667,-98,0.0,24.95
71,49.243478333333336,11.229041666666667,-98,-1.0,54.25
72,49.243478333333336,11.229041666666667,-99,0.0,63.349999999999994
73,49.243478333333336,11.229041666666667,-85,-1.0,59.45
74,49.243476666666666,11.229041666666667,-80,-1.0,48.650000000000006
75,49.243476666666666,11.229041666666667,-82,-1.0,41.3
76,49.243476666666666,11.229041666666667,-84,-1.0,45.25
77,49.243476666666666,11.229041666666667,-79,-1.0,48.9
78,49.24331166666667,11.22881,-78,-2.0,41.2
79,49.24316833333334,11.228576666666667,-78,5.0,35.2
80,49.242795,11.228335,-74,8.0,28.6
